text,label,label_id
"I just think that the feminist movement glorifies obesity. It should focus on being healthy, because what it's doing now is just as bad as the mainstream media!",implicit_hate,1
: i just heard white christmas playing and realized the liberals and #blm must hate it since it contains their,not_hate,0
can i be black now you guys ?,not_hate,0
hate crime charge dropped for 4 black teens who kidnapped and tortured a white teenager .,not_hate,0
the alt right is not anti christianity but rather anti christian cuck . it values family  tradition  and volk not vagueness of family values,implicit_hate,1
" how's your buddy jason kessler the cnn occupy wall street reporter ? oops i mean  "" alt right thought lead """,not_hate,0
can i join ur clan,not_hate,0
most white people also hate nazis but wow here you are,not_hate,0
the black guy is trying to tell the other guy what his iq is . #drainthesewer,implicit_hate,1
"nothing acceptable about it! if i ever catch someone sexually abusing a child, i'll have no problem siting in jail for putting a hot round in the back of their skull!",implicit_hate,1
" rt the life of the prophet is valid as a law for every muslim  how many thousands of innocents did he slaughtered during his  "" holy "" "" life ? """,implicit_hate,1
. is she a christian ? or jew ?,not_hate,0
" rt 2 / ... jared taylor  american renaissance  among other things  to my attention . ... i am mailing in a donation . keep up the good work .  "" """,not_hate,0
it was a tragic #war - #hitler #germany #jews #history,not_hate,0
dnc chair candidate wants to ' shut other white people down ' via,not_hate,0
collective exhale after high court announcement #neilgorsuch,not_hate,0
"cut their federal funding, food stamps, and all other subsidies if they don't want to abide in the laws",implicit_hate,1
are you arguing against racial separation ? or just against incomplete separation ?,not_hate,0
adolf hitler : jews can never rule the world unless they bastardize the white european races,implicit_hate,1
isn't he a white man ?,not_hate,0
" rt  "" there is one core issue in the immigration debate : the well-being of the american people . nothing even comes a close second . "" "" """,not_hate,0
admiral ramdas write 2 leela ramdas #aaptards daughter kavita  head of ford foundation in india,not_hate,0
3rd circuit reinstates lawsuit against pittsburgh censorship zones via #prolife,not_hate,0
they won't stop until they have turned the country into a third world hellhole.,implicit_hate,1
i'm so sick of candlelight vigils for the victims of #diversity . i want more for my people . they deserve more than a melting candle to remember them by . they deserve justice . the middle classes will be provoked  and their rage will not subside .,implicit_hate,1
what the fuhrer said about jew communists came to pass. they are the parasites of the earth.,implicit_hate,1
it is not just the alt-right . most of the left and mainstream right is also sick and tired of endless wars :,not_hate,0
"  "" these people "" "" ? you mean the scores of "" "" white people "" "" who are in favor """,not_hate,0
then what do you want ? i want to be able to live on the south side ... but black crime dissuades that . #chicago,implicit_hate,1
the demokkkrats are still the party of the klan . look at their racist remarks and all white candidates for the presidency,implicit_hate,1
trump rt'd a white nationalist.meanwhile  obama has black nationalists over for white house dinners .,not_hate,0
then why do you use the word white ? youre the racist . pure idiocy . get a vocabulary .,not_hate,0
conservatives failed white people ! we could add a new chapter : another fifty years of failure !,not_hate,0
you will not succeed in your goal of a white ethno-state ! #heatherheyer will not die i,not_hate,0
j . graf and the illogical canard : ' where did jews go then ? ' : we hear the logically flawed question repeatedly  ...,not_hate,0
: nine uk muslims  including four children  arrested by turkish cops as they try to join the islamic,not_hate,0
zuckerberg's dream : the anti-white racist social network via the jew behind this rt,implicit_hate,1
you mean the obvious fact that society is becoming aggressive towards whites ?,not_hate,0
" the alt-lite tought they were dissociating themselves from a dead weight that was  "" bad optics "" "" . lol """,not_hate,0
i want to join the anp im sick of all the fucking niggers and jews and mongs icant turn on the tv without a fucking nigger being onit,explicit_hate,2
german refugee camps close to breaking point squalor  food limited  whistle blowers sacked or threatened #rtnews,not_hate,0
google searches for white genocide soar after tweet via #makeamericagreatagain,not_hate,0
#auspol uk : racist black man punches pregnant white girl in stomach as onlookers watch in horror via,implicit_hate,1
it works but i will admit that it is painful . less so than letting a tear ruin your progress  however .,not_hate,0
excellent ! the jihad of words via,implicit_hate,1
and ran by whites  governor  legislature and all  correct ?,not_hate,0
retweeted elder lansing ( ): forget this white nationalist mess . i'm america first . so is our great ...,not_hate,0
: . poll flawed - didn't offer option of enforcement - not just amnesty or deportation #iowadebate,not_hate,0
growing ? or white flight from other citiies ?,not_hate,0
race relations in us is managed by a thin veneer of civility and doesn't take much to expose truth . blacks hate your white guts,implicit_hate,1
" a white supremacist when they are conservative can a person of color  i . e . maxine waters  still be a person of  "" white privilege "" "" ? ohb was """,not_hate,0
poor blacks n america are the most spoiled & pampered group of people n,explicit_hate,2
"well, kind of tells you where most of society views your place on the pyramid of degenerate behavior.",implicit_hate,1
afp podcast & article : the day of the white man via,not_hate,0
alex jones cries six million tears as he is unable to contain anger towards jews  blacks and muslims on his websites,not_hate,0
let's be a white resister !,not_hate,0
it's failed reganomics all over again ! ! why do people stay stuck in stupid gear ! ! !,not_hate,0
hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism,implicit_hate,1
cpcs are not clinics ! they are religious orgs that lie to #women and coerce them into carr,not_hate,0
caution washington dc residents . white supremacist group met in alexandria this morning . the group was founded by nathan damigo  who is known for attacking people who appear to be muslim . they might be dressed in suits but please be careful . they may attack .,not_hate,0
old but accurate post on the #zimmerman trial . the #media spin and facts of the case . #msm #naacp,not_hate,0
these daca activists hate the us why legalize them ? ? ?,implicit_hate,1
here you go again . you don't know me but of course you have to call me racist . what if i tell you that my kid is black ?,not_hate,0
"lol,,, welcome to world, this is what she lobbies for, and this is how it begins good job! good job ann you f'n tranny",explicit_hate,2
: i think social media is one reason why the polls are trending #prolife . #prolifecon,not_hate,0
you really hate white people don't you ?,not_hate,0
civic nationalism is an oxymoron in a multiracial society where about 15 % population is foreign born  t,not_hate,0
fore sure : i'm exhausted by losers and bored of losing.you ' re repelling good people ( and,not_hate,0
very unlikely for most unless its a massive purge for everyone but them . the paranoid few on places like 4chan will still call them shills regardless of what happens  though .,not_hate,0
" may i ask  what message do you hope to get from the  "" white lives matter rally "" "" ? """,not_hate,0
" rt rt :  "" : zuckerberg's dream : the anti-white racist social network via "" "" """,not_hate,0
rt the active shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters ( cont,implicit_hate,1
"  "" trump is right : america needs a merit-based immigration policy "" "" via """,not_hate,0
yeah  i know . you and achmed can even get married now  cuck .,explicit_hate,2
she was a racist bigot .,not_hate,0
o germans ! ! unite and rise to save fatherland & your honour from muslim invaders,implicit_hate,1
hate crimes a pre-planned conspiracy to demean hindus  says ( pic : pti ),not_hate,0
michael medved you are slime . donald trump isn't asking white supremacists to do robocalls in his name . #saynotorubiobama,not_hate,0
: so mr spencer ... muslims hate you and in all your clever rhetoric  best you can do is hate them back ! #spoil,not_hate,0
"yeah, how dare those extreme left wingers jump in front of a car driven by a poor ickle innocent nazi ?",implicit_hate,1
